binary,max_prime,average_execution_time,average_memory,average_cpu_pct
PerformanceInvestigationCpp_v5,10,0.037568484999999985,508.0,0.0
PerformanceInvestigationCpp_v5,100,0.009861346999999965,508.0,0.0
PerformanceInvestigationCpp_v5,1000,0.010744894999999977,508.0,33.0
PerformanceInvestigationCpp_v5,10000,0.011158742999999971,520.0,66.0
PerformanceInvestigationCpp_v5,100000,0.014308222000000037,560.0,71.0
PerformanceInvestigationCpp_v5,1000000,0.048326431999999975,936.0,95.0
PerformanceInvestigationCpp_v5,10000000,0.325001855,4332.0,99.0
PerformanceInvestigationCpp_v5,100000000,3.5519191560000003,35220.0,99.0
PerformanceInvestigationCpp_v5,1000000000,44.413899092,321196.0,99.0
PerformanceInvestigationCpp_v5,2147483647,100.75217205799999,673176.0,99.0
PerformanceInvestigationCpp_v6,10,0.009459397000000536,556.0,66.0
PerformanceInvestigationCpp_v6,100,0.009076530000015737,652.0,66.0
PerformanceInvestigationCpp_v6,1000,0.011048391000002766,644.0,50.0
PerformanceInvestigationCpp_v6,10000,0.011620159999978341,764.0,100.0
PerformanceInvestigationCpp_v6,100000,0.01290930400000434,776.0,200.0
PerformanceInvestigationCpp_v6,1000000,0.021474167999997462,1372.0,578.0
PerformanceInvestigationCpp_v6,10000000,0.0926866519999976,6996.0,780.0
PerformanceInvestigationCpp_v6,100000000,0.7584899139999948,57820.0,924.0
PerformanceInvestigationCpp_v6,1000000000,11.16288890300001,519940.0,988.0
PerformanceInvestigationCpp_v6,2147483647,26.120873923000005,1083856.0,982.0
PerformanceInvestigationCpp_v7,10,0.013932578999998668,528.0,33.0
PerformanceInvestigationCpp_v7,100,0.01130181100000982,604.0,66.0
PerformanceInvestigationCpp_v7,1000,0.011979451999991397,616.0,50.0
PerformanceInvestigationCpp_v7,10000,0.012930205000003525,736.0,175.0
PerformanceInvestigationCpp_v7,100000,0.01778772500000514,740.0,570.0
PerformanceInvestigationCpp_v7,1000000,0.05803591099999039,1104.0,856.0
PerformanceInvestigationCpp_v7,10000000,0.3662486850000164,4420.0,936.0
PerformanceInvestigationCpp_v7,100000000,3.292598295999994,35320.0,879.0
PerformanceInvestigationCpp_v7,1000000000,35.19868101099999,321296.0,912.0
PerformanceInvestigationCpp_v7,2147483647,75.47871555200001,673288.0,953.0
PerformanceInvestigationCpp_v8,10,0.01611920300001657,1804.0,144.0
PerformanceInvestigationCpp_v8,100,0.016083980000018983,1764.0,155.0
PerformanceInvestigationCpp_v8,1000,0.01748821799998268,1820.0,140.0
PerformanceInvestigationCpp_v8,10000,0.018025883999996495,1796.0,150.0
PerformanceInvestigationCpp_v8,100000,0.018567923999967206,1768.0,154.0
PerformanceInvestigationCpp_v8,1000000,0.02974877799999831,2028.0,236.0
PerformanceInvestigationCpp_v8,10000000,0.12917461099999628,4464.0,281.0
PerformanceInvestigationCpp_v8,100000000,1.157342577999998,35300.0,306.0
PerformanceInvestigationCpp_v8,1000000000,11.497209745999953,321284.0,327.0
PerformanceInvestigationCpp_v8,2147483647,24.89564453899999,673240.0,338.0
